module	tier	status	value_model	apqc	models	routes	priority
l10n_es_edi_sii	baseline	todo	support	9.0	0	0	0
l10n_es_edi_tbai_pos	baseline	todo	support	9.0	0	0	0
l10n_es_edi_verifactu_pos	baseline	todo	support	9.0	0	0	0
l10n_es_pos	baseline	todo	support	9.0	0	0	0
l10n_et	baseline	todo	support	9.0	0	0	0
l10n_eu_oss	baseline	todo	support	9.0	0	0	0
l10n_fi	baseline	todo	support	9.0	0	0	0
l10n_fi_sale	baseline	todo	support	9.0	0	0	0
l10n_fr	baseline	todo	support	9.0	0	0	0
l10n_fr_facturx_chorus_pro	baseline	todo	support	9.0	0	0	0
l10n_fr_hr_holidays	baseline	todo	support	9.0	0	0	0
l10n_fr_hr_work_entry_holidays	baseline	todo	support	9.0	0	0	0
l10n_fr_pdp_pos	baseline	todo	support	9.0	0	0	0
l10n_ga	baseline	todo	support	9.0	0	0	0
l10n_gcc_invoice	baseline	todo	support	9.0	0	0	0
l10n_gcc_invoice_stock_account	baseline	todo	support	9.0	0	0	0
l10n_gcc_pos	baseline	todo	support	9.0	0	0	0
l10n_gn	baseline	todo	support	9.0	0	0	0
l10n_gq	baseline	todo	support	9.0	0	0	0
l10n_gr	baseline	todo	support	9.0	0	0	0
l10n_gt	baseline	todo	support	9.0	0	0	0
l10n_gw	baseline	todo	support	9.0	0	0	0
l10n_hk	baseline	todo	support	9.0	0	0	0
l10n_hn	baseline	todo	support	9.0	0	0	0
l10n_hr	baseline	todo	support	9.0	0	0	0
l10n_hr_kuna	baseline	todo	support	9.0	0	0	0
l10n_hu	baseline	todo	support	9.0	0	0	0
l10n_id_pos	baseline	todo	support	9.0	0	0	0
l10n_ie	baseline	todo	support	9.0	0	0	0
l10n_il	baseline	todo	support	9.0	0	0	0
l10n_in_ewaybill_irn	baseline	todo	support	9.0	0	0	0
l10n_in_ewaybill_stock	baseline	todo	support	9.0	0	0	0
l10n_in_pos	baseline	todo	support	9.0	0	0	0
l10n_in_purchase_stock	baseline	todo	support	9.0	0	0	0
l10n_in_sale	baseline	todo	support	9.0	0	0	0
l10n_in_sale_stock	baseline	todo	support	9.0	0	0	0
l10n_in_stock	baseline	todo	support	9.0	0	0	0
l10n_iq	baseline	todo	support	9.0	0	0	0
l10n_it	baseline	todo	support	9.0	0	0	0
l10n_it_edi_sale	baseline	todo	support	9.0	0	0	0
l10n_it_stock_ddt	baseline	todo	support	9.0	0	0	0
l10n_jo	baseline	todo	support	9.0	0	0	0
l10n_jp	baseline	todo	support	9.0	0	0	0
l10n_ke_edi_tremol	baseline	todo	support	9.0	0	0	0
l10n_kh	baseline	todo	support	9.0	0	0	0
l10n_km	baseline	todo	support	9.0	0	0	0
l10n_kr	baseline	todo	support	9.0	0	0	0
l10n_kw	baseline	todo	support	9.0	0	0	0
l10n_kz	baseline	todo	support	9.0	0	0	0
l10n_lb_account	baseline	todo	support	9.0	0	0	0
l10n_lk	baseline	todo	support	9.0	0	0	0
l10n_lt	baseline	todo	support	9.0	0	0	0
l10n_lu	baseline	todo	support	9.0	0	0	0
l10n_lv	baseline	todo	support	9.0	0	0	0
l10n_ma	baseline	todo	support	9.0	0	0	0
l10n_mc	baseline	todo	support	9.0	0	0	0
l10n_ml	baseline	todo	support	9.0	0	0	0
l10n_mn	baseline	todo	support	9.0	0	0	0
l10n_mr	baseline	todo	support	9.0	0	0	0
l10n_mt	baseline	todo	support	9.0	0	0	0
l10n_mu_account	baseline	todo	support	9.0	0	0	0
l10n_mx	baseline	todo	support	9.0	0	0	0
l10n_my	baseline	todo	support	9.0	0	0	0
l10n_my_edi_pos	baseline	todo	support	9.0	0	0	0
l10n_mz	baseline	todo	support	9.0	0	0	0
l10n_ne	baseline	todo	support	9.0	0	0	0
l10n_ng	baseline	todo	support	9.0	0	0	0
l10n_nl	baseline	todo	support	9.0	0	0	0
l10n_no	baseline	todo	support	9.0	0	0	0
l10n_nz	baseline	todo	support	9.0	0	0	0
l10n_om	baseline	todo	support	9.0	0	0	0
l10n_pa	baseline	todo	support	9.0	0	0	0
l10n_pk	baseline	todo	support	9.0	0	0	0
l10n_pl_edi	baseline	todo	support	9.0	0	0	0
l10n_pt	baseline	todo	support	9.0	0	0	0
l10n_qa	baseline	todo	support	9.0	0	0	0
l10n_ro	baseline	todo	support	9.0	0	0	0
l10n_ro_edi_stock	baseline	todo	support	9.0	0	0	0
l10n_ro_edi_stock_batch	baseline	todo	support	9.0	0	0	0
l10n_rs	baseline	todo	support	9.0	0	0	0
l10n_rw	baseline	todo	support	9.0	0	0	0
l10n_sa	baseline	todo	support	9.0	0	0	0
l10n_sa_edi_pos	baseline	todo	support	9.0	0	0	0
l10n_sa_pos	baseline	todo	support	9.0	0	0	0
l10n_sa_withholding_tax	baseline	todo	support	9.0	0	0	0
l10n_se	baseline	todo	support	9.0	0	0	0
l10n_si	baseline	todo	support	9.0	0	0	0
l10n_sk	baseline	todo	support	9.0	0	0	0
l10n_sn	baseline	todo	support	9.0	0	0	0
l10n_syscohada	baseline	todo	support	9.0	0	0	0
l10n_td	baseline	todo	support	9.0	0	0	0
l10n_test_pos_qr_payment	test	todo	support	9.0	0	0	0
l10n_tg	baseline	todo	support	9.0	0	0	0
l10n_th	baseline	todo	support	9.0	0	0	0
l10n_tn	baseline	todo	support	9.0	0	0	0
l10n_tr	baseline	todo	support	9.0	0	0	0
l10n_tr_nilvera_base_vat	baseline	todo	support	9.0	0	0	0
l10n_tw	baseline	todo	support	9.0	0	0	0
l10n_tz_account	baseline	todo	support	9.0	0	0	0
l10n_ua	baseline	todo	support	9.0	0	0	0
l10n_ug	baseline	todo	support	9.0	0	0	0
l10n_uk	baseline	todo	support	9.0	0	0	0
l10n_us	baseline	todo	support	9.0	0	0	0
l10n_us_account	baseline	todo	support	9.0	0	0	0
l10n_uy	baseline	todo	support	9.0	0	0	0
l10n_uy_pos	baseline	todo	support	9.0	0	0	0
l10n_uz	baseline	todo	support	9.0	0	0	0
l10n_ve	baseline	todo	support	9.0	0	0	0
l10n_vn	baseline	todo	support	9.0	0	0	0
l10n_vn_edi_viettel_pos	baseline	todo	support	9.0	0	0	0
l10n_za	baseline	todo	support	9.0	0	0	0
l10n_zm_account	baseline	todo	support	9.0	0	0	0
mail_bot_hr	baseline	todo	support	9.4	0	0	0
mass_mailing_crm	baseline	todo	network	3.0	0	0	0
mass_mailing_crm_sms	baseline	todo	network	3.0	0	0	0
mass_mailing_event	baseline	todo	network	3.0	0	0	0
mass_mailing_event_sms	baseline	todo	network	3.0	0	0	0
mass_mailing_event_track	baseline	todo	network	3.0	0	0	0
